8	28	o	26135.6848	28.05781029
9	28	f	26115.0608	28.03566952
10	28	ne	26093.0794	28.01207151
11	28	na	26080.84555	27.99893794
12	28	mg	26066.81616	27.98387677
13	28	al	26064.98436	27.98191025
14	28	si	26060.342	27.97692647
15	28	p	26074.67605	27.99231471
16	28	s	26085.908	28.0043727
17	28	cl	26108.3918	28.02851005
9	29	f	27053.6249	29.04325947
10	29	ne	27031.38678	29.01938587
11	29	na	27015.9939	29.00286093
12	29	mg	27002.70987	28.98859994
13	29	al	26995.11358	28.98044499
14	29	si	26991.43385	28.97649464
15	29	p	26996.37627	28.98180054
16	29	s	27010.16932	28.99660799
17	29	cl	27026.4719	29.01410953
9	30	f	27993.726	30.05249946
10	30	ne	27967.92503	30.02480098
11	30	na	27953.18409	30.00897593
12	30	mg	27935.91233	29.99043394
13	30	al	27928.95058	29.98296019
14	30	si	27920.39007	29.97377011
15	30	p	27924.62243	29.97831373
16	30	s	27930.76047	29.98490319
17	30	cl	27949.266	30.00476969
18	30	ar	27964.906	30.02155992
9	31	f	28932.6061	31.06042866
10	31	ne	28907.1591	31.03311018
11	31	na	28888.97187	31.01358539
12	31	mg	28873.09972	30.99654593
13	31	al	28861.36347	30.98394655
14	31	si	28853.36809	30.97536316
15	31	p	28851.87622	30.97376157
16	31	s	28857.27245	30.97955466
17	31	cl	28869.24994	30.99241303
18	31	ar	28887.6101	31.01212347
10	32	ne	29845.0892	32.04001951
11	32	na	29826.87568	32.02046649
12	32	mg	29806.85642	31.99897493
13	32	al	29796.74923	31.98812442
14	32	si	29783.73029	31.97414801
15	32	p	29783.50598	31.97390721
16	32	s	29781.7955	31.97207093
17	32	cl	29794.48143	31.98568984
18	32	ar	29805.611	31.99763792
19	32	k	29828.2292	32.02191955
10	33	ne	30785.3023	33.04937974
11	33	na	30764.19459	33.02671968
12	33	mg	30744.19937	33.00525393
13	33	al	30730.77592	32.99084326
14	33	si	30718.81264	32.97800015
15	33	p	30712.96781	32.97172547
16	33	s	30712.71931	32.9714587
17	33	cl	30718.30187	32.97745182
18	33	ar	30729.92116	32.98992564
19	33	k	30746.0683	33.00726031
10	34	ne	31723.9204	34.05702766
11	34	na	31703.5604	34.03517031
12	34	mg	31679.608	34.00945635
13	34	al	31667.86691	33.99685177
14	34	si	31650.84263	33.97857545
15	34	p	31646.24173	33.97363619
16	34	s	31640.86761	33.96786683
17	34	cl	31646.35962	33.97376275
18	34	ar	31652.42218	33.98027117
19	34	k	31669.3184	33.99841001
20	34	ca	31683.9524	34.01412025
11	35	na	32641.8755	35.04249295
12	35	mg	32618.4455	35.01733981
13	35	al	32602.16331	34.99986016
14	35	si	32587.93319	34.9845835
15	35	p	32577.43576	34.97331404
16	35	s	32573.44714	34.96903209
17	35	cl	32573.27996	34.96885261
18	35	ar	32579.24609	34.97525751
19	35	k	32591.1246	34.98800962
20	35	ca	32606.8955	35.00494037
11	36	na	33581.7406	36.05147958
12	36	mg	33555.2116	36.02299953
13	36	al	33539.56957	36.00620712
14	36	si	33521.30509	35.9865994
15	36	p	33513.53662	35.9782596
16	36	s	33503.12353	35.96708069
17	36	cl	33504.26574	35.9683069
18	36	ar	33503.55606	35.96754503
19	36	k	33516.36143	35.98129216
20	36	ca	33527.34824	35.99308699
21	36	sc	33547.6856	36.01492004
11	37	na	34520.5567	37.05934007
12	37	mg	34494.5307	37.03140001
13	37	al	34475.22803	37.01067774
14	37	si	34458.7017	36.992936
15	37	p	34446.28756	36.97960887
16	37	s	34438.38534	36.97112549
17	37	cl	34433.52017	36.96590252
18	37	ar	34434.33404	36.96677624
19	37	k	34440.4815	36.97337581
20	37	ca	34452.11994	36.98587019
21	37	sc	34468.1227	37.00304986
12	38	mg	35431.7718	38.03756967
13	38	al	35412.82639	38.01723093
14	38	si	35392.70853	37.99563352
15	38	p	35382.01798	37.98415675
16	38	s	35369.9146	37.97116324
17	38	cl	35366.9777	37.96801034
18	38	ar	35362.06125	37.96273232
19	38	k	35367.97511	37.96908111
20	38	ca	35374.71658	37.97631837
21	38	sc	35391.8388	37.99469983
22	38	ti	35405.8768	38.00977024
12	39	mg	36371.8379	39.04677209
13	39	al	36349.66632	39.02296992
14	39	si	36330.19811	39.00206993
15	39	p	36315.39617	38.9861794
16	39	s	36305.10766	38.97513423
17	39	cl	36298.4697	38.96800809
18	39	ar	36295.02789	38.96431315
19	39	k	36294.46289	38.9637066
20	39	ca	36300.9955	38.97071964
21	39	sc	36314.10188	38.98478992
22	39	ti	36329.7699	39.00161023
12	40	mg	37309.999	40.0539294
13	40	al	37289.059	40.03144939
14	40	si	37265.23105	40.00586903
15	40	p	37251.65716	39.99129686
16	40	s	37236.89743	39.97545164
17	40	cl	37232.20619	39.97041539
18	40	ar	37224.7241	39.96238304
19	40	k	37226.2288	39.9639984
20	40	ca	37224.91773	39.96259091
21	40	sc	37239.24077	39.97796732
22	40	ti	37250.91373	39.99049876
23	40	v	37270.094	40.01108962
13	41	al	38226.9621	41.03832973
14	41	si	38204.82065	41.01455991
15	41	p	38185.98159	40.99433535
16	41	s	38172.239	40.97958207
17	41	cl	38163.95091	40.97068444
18	41	ar	38158.19063	40.96450052
19	41	k	38155.69903	40.96182568
20	41	ca	38156.12034	40.96227798
21	41	sc	38162.61571	40.96925104
22	41	ti	38175.5581	40.98314527
23	41	v	38191.0531	40.99977984
13	42	al	39166.4302	42.04689017
14	42	si	39141.1862	42.01978962
15	42	p	39123.69107	42.00100783
16	42	s	39105.0747	41.98102233
17	42	cl	39097.83921	41.97325472
18	42	ar	39088.32953	41.96304566
19	42	k	39087.73064	41.96240272
20	42	ca	39084.20513	41.95861793
